truck_id,trip_id,cargo_weight,wait_tare,wait_loader,wait_gross,tare_time,load_time,gross_time,travel_time,unload_time,return_time,start_time,finish_time,total_time
1,1,27.13,0.0,0.0,15.699999999999989,3,8.3,3,21.8,14.1,20,495.0,560.9,65.89999999999998
2,1,27.09,3.0,5.300000000000011,9.899999999999977,3,8.8,3,18.2,14.7,20,495.0,560.9000000000001,65.90000000000009
4,1,27.32,9.0,16.300000000000068,0.0,3,9.1,3,19.9,14.2,20,495.0,569.5000000000001,74.50000000000011
3,1,27.84,6.0,11.100000000000023,4.699999999999932,3,8.2,3,24.8,14.1,20,495.0,569.9,74.89999999999998
5,1,27.61,12.0,22.40000000000009,0.0,3,9.9,3,24.3,13.1,20,495.0,582.7,87.70000000000005
6,1,27.51,15.0,29.300000000000068,0.0,3,9.5,3,23.9,13.3,20,495.0,592.0,97.0
7,1,27.89,18.0,35.80000000000007,0.0,3,8.5,3,22.5,14.8,20,495.0,600.6,105.60000000000002
8,1,27.23,21.0,41.30000000000007,0.0,3,9.4,3,21.9,14.0,20,495.0,608.6,113.60000000000002
9,1,27.43,24.0,47.700000000000045,0.0,3,9.6,3,23.9,14.6,20,495.0,620.8000000000001,125.80000000000007
1,2,27.79,1.400000000000091,0.0,2.1000000000000227,3,8.1,3,23.4,13.0,20,580.9,634.9000000000001,54.000000000000114
2,2,27.82,4.399999999999977,5.100000000000023,0.0,3,8.4,3,21.0,14.9,20,580.9000000000001,640.7,59.799999999999955
4,2,27.76,0.0,9.299999999999955,0.0,3,8.4,3,18.7,14.3,20,589.5000000000001,646.2,56.69999999999993
3,2,27.25,2.6000000000001364,14.699999999999932,0.0,3,9.5,3,19.5,13.5,20,589.9,655.7,65.80000000000007
5,2,27.34,2.1000000000000227,11.899999999999977,3.0,3,8.9,3,21.7,12.6,20,602.7,668.9000000000001,66.20000000000005
6,2,27.04,1.2000000000000455,12.399999999999977,0.0,3,9.9,3,24.9,14.4,20,612.0,680.8,68.79999999999995
7,2,27.33,2.1000000000000227,12.799999999999955,0.0,3,9.9,3,24.4,14.6,20,620.6,690.4,69.79999999999995
8,2,27.88,0.0,16.799999999999955,0.5000000000001137,3,9.0,3,24.6,12.5,20,628.6,698.0000000000001,69.40000000000009
9,2,27.41,0.6999999999999318,12.899999999999977,0.0,3,8.3,3,21.1,12.7,20,640.8000000000001,702.5,61.69999999999993
1,3,27.87,0.0,7.799999999999841,0.0,3,9.0,3,19.1,14.7,20,654.9000000000001,711.5,56.59999999999991
2,3,27.72,0.20000000000004547,10.79999999999984,0.0,3,9.3,3,19.2,13.5,20,660.7,719.6999999999999,58.999999999999886
4,3,27.62,2.4999999999998863,12.299999999999955,0.0,3,8.7,3,22.8,14.6,20,666.2,733.0999999999999,66.89999999999986
3,3,27.5,1.9999999999998863,12.0,2.7000000000000455,3,8.4,3,19.9,12.3,20,675.7,792.9999999999999,117.29999999999984
5,3,27.46,0.0,9.199999999999818,0.0,3,9.3,3,19.4,12.2,20,688.9000000000001,792.9999999999999,104.0999999999998
7,3,27.66,2.9999999999998863,2.7999999999999545,2.9000000000003183,3,8.9,3,21.5,12.1,20,710.4,819.6000000000001,109.20000000000016
6,3,27.86,0.0,6.599999999999909,1.8000000000002956,3,8.8,3,24.9,12.6,20,700.8,820.5000000000001,119.70000000000016
8,3,27.68,0.0,0.0,8.399999999999977,3,9.6,3,23.7,13.6,20,718.0000000000001,838.3000000000002,120.30000000000007
4,4,27.94,5.900000000000205,0.6000000000000227,2.1000000000000227,3,9.3,3,20.3,14.8,20,753.0999999999999,839.1,86.00000000000011
1,4,27.23,8.500000000000114,6.899999999999977,0.0,3,8.6,3,19.7,12.4,20,731.5,842.6000000000001,111.10000000000014
9,3,27.23,11.500000000000114,12.5,2.4999999999997726,3,9.0,3,21.3,12.8,20,722.5,856.0999999999998,133.5999999999998
2,4,27.4,14.300000000000182,18.5,0.0,3,10.0,3,23.8,12.9,20,739.6999999999999,866.2,126.50000000000011
3,4,27.05,0.0,10.500000000000227,0.0,3,9.7,3,22.3,13.0,20,812.9999999999999,874.5000000000001,61.50000000000023
5,4,27.63,3.0,17.200000000000273,1.1999999999999318,3,8.2,3,23.3,13.5,20,812.9999999999999,885.4000000000001,72.4000000000002
7,4,27.04,0.0,1.8000000000000682,0.0,3,9.6,3,19.9,14.3,20,839.6000000000001,891.2000000000002,51.60000000000002
6,4,27.21,2.1000000000000227,8.400000000000091,4.0,3,9.3,3,24.3,13.6,20,840.5000000000001,908.2000000000002,67.70000000000005
8,4,27.72,0.0,2.0,0.0,3,9.2,3,20.2,12.7,20,858.3000000000002,908.4000000000003,50.100000000000136
4,5,27.6,2.200000000000159,8.200000000000045,0.0,3,9.0,3,21.2,13.8,20,859.1,919.5000000000002,60.400000000000205
1,5,27.24,1.7000000000000455,14.200000000000045,0.0,3,9.5,3,20.6,12.3,20,862.6000000000001,926.9000000000002,64.30000000000007
9,4,27.13,0.0,11.900000000000432,0.0,3,9.6,3,21.1,14.7,20,876.0999999999998,939.4000000000003,63.30000000000052
2,5,27.14,0.0,11.400000000000205,0.0,3,8.9,3,24.8,12.6,20,886.2,949.9000000000002,63.70000000000016
3,5,27.71,0.0,12.000000000000114,0.0,3,9.3,3,24.4,14.3,20,894.5000000000001,960.5000000000001,66.0
5,5,27.94,0.0,10.400000000000091,0.0,3,8.3,3,21.0,13.6,20,905.4000000000001,964.7000000000002,59.30000000000007
7,5,27.41,1.3000000000000682,11.599999999999909,0.7000000000000455,3,8.3,3,19.9,13.4,20,911.2000000000002,972.4000000000001,61.19999999999993
6,5,27.19,1.8999999999999773,2.2999999999999545,0.0,3,8.4,3,20.6,12.2,20,928.2000000000002,979.6000000000001,51.39999999999998
8,5,27.35,4.699999999999818,7.699999999999932,0.0,3,8.3,3,24.4,12.3,20,928.4000000000003,991.8,63.399999999999636
4,6,27.49,0.0,9.599999999999795,0.9000000000003183,3,9.4,3,18.9,14.5,20,939.5000000000002,998.8000000000003,59.30000000000007
1,6,27.34,0.0,11.599999999999795,0.0,3,8.4,3,22.0,13.1,20,946.9000000000002,1008.0,61.099999999999795
9,5,27.05,0.0,7.499999999999659,0.0,3,8.9,3,18.1,13.5,20,959.4000000000003,1013.4,53.99999999999966
2,6,27.1,2.9999999999997726,2.8999999999999773,0.0,3,9.8,3,18.4,12.9,20,969.9000000000002,1022.8999999999999,52.99999999999966
3,6,27.86,1.2999999999998408,3.7999999999999545,0.0,3,9.1,3,22.0,12.6,20,980.5000000000001,1035.3,54.79999999999984
5,6,27.78,0.09999999999979536,9.899999999999977,0.0,3,9.7,3,24.2,14.8,20,984.7000000000002,1049.3999999999999,64.6999999999997
7,6,27.89,0.0,11.999999999999886,0.0,3,9.8,3,18.1,14.9,20,992.4000000000001,1053.2,60.799999999999955
6,6,27.26,1.0999999999997954,13.5,0.0,3,10.0,3,21.3,12.8,20,999.6000000000001,1064.2999999999997,64.69999999999959
8,6,27.65,0.0,12.399999999999864,2.2737367544323206e-13,3,9.2,3,24.0,14.8,20,1011.8,1078.2,66.40000000000009
4,7,27.85,1.3999999999996362,13.199999999999932,0.5,3,9.0,3,22.2,14.8,20,1018.8000000000003,1085.8999999999999,67.09999999999957
1,7,27.76,2.199999999999818,12.200000000000045,0.0,3,8.9,3,24.7,13.0,20,1028.0,1095.0,67.0
9,6,27.79,0.0,17.899999999999864,0.0,3,8.5,3,19.8,12.1,20,1033.4,1097.6999999999998,64.29999999999973
2,7,27.35,0.0,16.90000000000009,0.2999999999999545,3,9.3,3,20.2,15.0,20,1042.8999999999999,1110.6,67.70000000000005
3,7,27.56,2.0,11.799999999999955,0.0,3,8.1,3,19.6,12.4,20,1055.3,1115.1999999999998,59.899999999999864
5,7,27.51,0.0,7.7999999999999545,0.0,3,8.3,3,20.4,13.7,20,1069.3999999999999,1125.6,56.200000000000045
7,7,27.47,2.199999999999818,10.099999999999909,0.0,3,8.3,3,18.4,12.7,20,1073.2,1130.8999999999999,57.69999999999982
6,7,27.6,0.0,9.5,0.0,3,8.9,3,19.5,14.2,20,1084.2999999999997,1142.3999999999999,58.100000000000136
8,7,27.93,1.5999999999996817,2.900000000000091,0.0,3,8.6,3,19.2,12.4,20,1098.2,1148.8999999999999,50.69999999999982
4,8,27.41,2.7999999999999545,2.599999999999909,0.7999999999999545,3,8.2,3,19.9,14.3,20,1105.8999999999999,1160.4999999999998,54.59999999999991
1,8,27.62,2.299999999999727,2.2000000000000455,2.6000000000001364,3,8.5,3,21.3,13.2,20,1115.0,1171.1,56.09999999999991
9,7,27.06,2.599999999999909,7.7000000000000455,2.2737367544323206e-13,3,8.6,3,24.6,12.0,20,1117.6999999999998,1179.1999999999998,61.5
2,8,27.44,0.0,5.999999999999773,0.0,3,9.9,3,23.7,13.8,20,1130.6,1189.9999999999998,59.399999999999864
3,8,27.31,1.400000000000091,9.899999999999864,0.0,3,8.8,3,18.8,12.7,20,1135.1999999999998,1192.7999999999997,57.59999999999991
5,8,27.86,0.0,9.699999999999818,0.0,3,8.2,3,22.3,14.3,20,1145.6,1206.0999999999997,60.49999999999977
7,8,27.87,1.599999999999909,11.0,0.0,3,9.9,3,18.2,13.9,20,1150.8999999999999,1211.5,60.600000000000136
6,8,27.1,0.0,11.0,0.0,3,9.5,3,21.5,12.7,20,1162.3999999999999,1228.1,65.70000000000005
8,8,27.8,0.599999999999909,13.400000000000091,0.0,3,8.2,3,22.9,14.1,20,1168.8999999999999,1234.1,65.20000000000005
4,9,27.32,0.0,10.600000000000136,0.0,3,8.1,3,18.6,13.2,20,1180.4999999999998,1249.9999999999998,69.5
1,9,27.73,0.0,8.099999999999909,0.2999999999999545,3,8.7,3,22.0,12.8,20,1191.1,1261.9999999999998,70.89999999999986
9,8,27.72,0.0,8.700000000000045,1.1000000000001364,3,9.5,3,22.2,12.0,20,1199.1999999999998,1271.7,72.50000000000023
3,9,27.05,2.400000000000091,12.200000000000045,0.0,3,8.1,3,20.3,14.3,20,1212.7999999999997,1279.0999999999997,66.29999999999995
2,9,27.23,5.2000000000000455,17.299999999999955,0.5000000000002274,3,9.1,3,21.3,13.2,20,1209.9999999999998,1288.6,78.60000000000014
5,9,27.86,1.1000000000001364,20.399999999999864,0.0,3,9.8,3,21.2,12.6,20,1226.0999999999997,1297.1999999999996,71.09999999999991
